 Vbg, Id_Vjg=-1.5V, Id_Vjg=-1.25V, Id_Vjg=-1V, Id_Vjg=-0.75V, Id_Vjg=-0.5V, Id_Vjg=-0.25V, Id_Vjg=0V
-17.25,-3.40E-11,-3.95E-11,1.77E-12,-3.60E-11,1.98E-11,2.85E-10,1.43E-09
-17.2,3.70E-11,3.03E-11,-2.85E-11,3.78E-11,5.07E-11,2.70E-10,1.50E-09
-17.15,-2.62E-11,-1.06E-11,3.48E-11,-2.25E-11,-1.10E-11,3.19E-10,1.27E-09
-17.1,-1.08E-11,-1.67E-11,-3.46E-11,-7.50E-12,6.19E-11,2.53E-10,1.44E-09
-17.05,3.80E-11,3.70E-11,1.02E-11,1.84E-11,1.89E-11,2.92E-10,1.38E-09
-17,-3.79E-11,-3.81E-11,1.95E-11,-3.99E-11,9.93E-12,2.79E-10,1.39E-09
-16.95,1.51E-11,1.78E-11,-3.68E-11,3.60E-11,6.84E-11,2.22E-10,1.37E-09
-16.9,1.07E-11,7.36E-12,2.59E-11,-1.99E-11,-5.41E-12,2.94E-10,1.35E-09
-16.85,-3.35E-11,-3.21E-11,4.05E-12,-4.46E-12,2.78E-11,2.30E-10,1.43E-09
-16.8,3.42E-11,3.56E-11,-2.95E-11,2.80E-11,5.45E-11,2.59E-10,1.29E-09
-16.75,-2.32E-11,-3.71E-11,3.41E-11,-3.70E-11,-8.80E-12,3.27E-10,1.41E-09
-16.7,-1.46E-11,3.29E-12,-3.18E-11,3.63E-11,6.06E-11,2.45E-10,1.53E-09
-16.65,3.84E-11,1.51E-11,1.40E-13,-1.07E-11,2.07E-11,2.92E-10,1.43E-09
-16.6,-3.39E-11,-3.80E-11,2.13E-11,-1.44E-11,1.39E-11,2.75E-10,1.48E-09
-16.55,-5.46E-12,3.51E-11,-3.87E-11,4.12E-11,6.39E-11,2.69E-10,1.47E-09
-16.5,1.72E-11,-2.42E-11,2.89E-11,-3.56E-11,-9.34E-12,3.20E-10,1.54E-09
-16.45,-4.00E-11,3.20E-12,4.70E-13,1.58E-11,3.85E-11,2.54E-10,1.63E-09
-16.4,3.57E-11,1.78E-11,-3.21E-11,1.30E-11,4.86E-11,2.98E-10,1.49E-09
-16.35,-1.31E-11,-4.06E-11,3.70E-11,-2.52E-11,-8.53E-12,2.98E-10,1.45E-09
-16.3,-1.50E-11,3.55E-11,-3.58E-11,3.85E-11,5.56E-11,2.55E-10,1.46E-09
-16.25,3.82E-11,-1.06E-11,7.22E-12,-3.53E-11,2.77E-11,3.24E-10,1.52E-09
-16.2,-3.53E-11,-1.75E-11,1.74E-11,9.21E-12,1.00E-13,2.41E-10,1.41E-09
-16.15,6.27E-12,2.68E-11,-3.94E-11,1.42E-11,6.42E-11,3.06E-10,1.44E-09
-16.1,1.92E-11,-3.67E-11,3.65E-11,-3.63E-11,-5.31E-12,3.08E-10,1.41E-09
-16.05,-3.65E-11,3.55E-11,-2.28E-11,3.67E-11,3.31E-11,2.48E-10,1.50E-09
-16,2.53E-11,-8.66E-12,-9.81E-12,-2.65E-11,4.82E-11,3.20E-10,1.47E-09
-15.95,1.09E-11,-1.28E-11,2.50E-11,-1.03E-12,-1.07E-11,2.28E-10,1.50E-09
-15.9,-3.98E-11,3.73E-11,-3.74E-11,3.70E-11,6.74E-11,2.70E-10,1.39E-09
-15.85,3.54E-11,-3.68E-11,3.42E-11,-3.68E-11,4.89E-12,3.35E-10,1.42E-09
-15.8,-9.15E-12,3.81E-12,-5.79E-12,2.98E-11,2.44E-11,2.57E-10,1.40E-09
-15.75,-1.97E-11,2.51E-11,-1.23E-11,-8.00E-12,4.28E-11,3.18E-10,1.38E-09
-15.7,3.78E-11,-3.57E-11,3.53E-11,-1.45E-11,-8.15E-12,2.57E-10,1.41E-09
-15.65,-3.35E-11,3.24E-11,-3.58E-11,4.00E-11,6.62E-11,2.79E-10,1.38E-09
-15.6,6.48E-12,3.72E-12,2.33E-11,-3.55E-11,8.42E-12,3.25E-10,1.46E-09
-15.55,2.08E-11,-2.76E-11,-1.23E-12,1.89E-11,1.06E-11,2.77E-10,1.38E-09
-15.5,-3.85E-11,3.76E-11,-2.27E-11,1.87E-11,6.72E-11,3.27E-10,1.38E-09
-15.45,3.61E-11,-3.30E-11,3.99E-11,-3.01E-11,-8.92E-12,2.73E-10,1.51E-09
-15.4,-7.70E-12,4.28E-12,-3.22E-11,3.91E-11,4.80E-11,2.77E-10,1.59E-09
-15.35,-2.21E-11,1.88E-11,1.28E-11,-2.52E-11,3.51E-11,3.44E-10,1.53E-09
-15.3,3.79E-11,-3.93E-11,1.44E-11,4.99E-12,-3.27E-12,2.67E-10,1.56E-09
-15.25,-3.42E-11,3.64E-11,-3.28E-11,2.39E-11,6.72E-11,3.48E-10,1.53E-09
-15.2,6.87E-12,-1.64E-11,3.67E-11,-3.63E-11,3.88E-12,2.94E-10,1.51E-09
-15.15,2.00E-11,-8.60E-12,-2.86E-11,3.89E-11,2.22E-11,2.45E-10,1.47E-09
-15.1,-3.88E-11,3.54E-11,-5.71E-12,-1.22E-11,6.68E-11,3.17E-10,1.46E-09
-15.05,3.78E-11,-3.44E-11,2.64E-11,-1.01E-11,-7.16E-12,2.98E-10,1.42E-09
-15,-8.20E-12,2.83E-11,-3.66E-11,4.01E-11,4.63E-11,3.22E-10,1.36E-09
-14.95,-1.52E-11,9.04E-12,3.34E-11,-3.37E-11,3.88E-11,3.24E-10,1.48E-09
-14.9,4.06E-11,-3.57E-11,4.30E-13,2.98E-11,-2.20E-12,2.70E-10,1.43E-09
-14.85,-3.50E-11,3.79E-11,-1.98E-11,-7.25E-12,6.91E-11,3.59E-10,1.62E-09
-14.8,1.64E-11,-3.08E-11,4.12E-11,-9.37E-12,4.58E-12,2.71E-10,1.45E-09
-14.75,1.17E-11,2.92E-12,-3.26E-11,4.24E-11,3.52E-11,3.04E-10,1.63E-09
-14.7,-3.37E-11,3.13E-11,3.16E-12,-3.12E-11,7.14E-11,3.33E-10,1.62E-09
-14.65,3.90E-11,-3.28E-11,3.49E-11,2.72E-11,1.12E-12,2.76E-10,1.53E-09
-14.6,-1.96E-11,3.69E-11,-3.57E-11,1.01E-11,7.13E-11,3.54E-10,1.55E-09
-14.55,2.45E-12,2.45E-12,3.89E-11,-2.41E-11,3.44E-11,3.18E-10,1.41E-09
-14.5,3.09E-11,-1.78E-11,-8.47E-12,4.17E-11,1.62E-11,2.78E-10,1.35E-09
-14.45,-3.35E-11,4.34E-11,-1.00E-11,-3.12E-11,7.85E-11,3.66E-10,1.45E-09
-14.4,3.84E-11,-3.18E-11,4.03E-11,1.91E-11,1.36E-12,2.72E-10,1.34E-09
-14.35,-5.72E-12,1.66E-11,-3.18E-11,2.20E-11,5.26E-11,3.47E-10,1.36E-09
-14.3,-1.57E-11,1.94E-11,2.79E-11,-3.16E-11,5.11E-11,3.25E-10,1.35E-09
-14.25,4.20E-11,-3.18E-11,9.60E-12,4.40E-11,4.30E-12,2.81E-10,1.55E-09
-14.2,-2.94E-11,4.07E-11,-2.23E-11,-1.51E-12,7.82E-11,3.54E-10,1.59E-09
-14.15,1.36E-11,-1.80E-11,4.19E-11,4.60E-12,3.49E-12,2.87E-10,1.70E-09
-14.1,2.41E-11,-7.27E-12,-2.84E-11,3.73E-11,4.31E-11,3.49E-10,1.48E-09
-14.05,-3.16E-11,4.59E-11,2.28E-11,-2.61E-11,6.49E-11,3.40E-10,1.36E-09
-14,4.42E-11,-2.98E-11,1.86E-11,4.36E-11,4.46E-12,2.99E-10,1.40E-09
-13.95,-4.57E-12,4.20E-11,-2.62E-11,9.46E-12,5.92E-11,3.83E-10,1.42E-09
-13.9,-5.53E-12,4.69E-12,4.36E-11,-1.48E-11,4.90E-11,3.17E-10,1.41E-09
-13.85,4.79E-11,-1.04E-11,-1.48E-11,4.96E-11,1.04E-11,3.31E-10,1.46E-09
-13.8,-2.62E-11,4.81E-11,6.64E-12,-2.07E-11,7.93E-11,3.81E-10,1.42E-09
-13.75,1.94E-11,-2.70E-11,4.55E-11,1.95E-11,1.73E-11,3.07E-10,1.53E-09
-13.7,2.78E-11,9.87E-12,-2.52E-11,3.24E-11,5.48E-11,3.90E-10,1.63E-09
-13.65,-2.75E-11,3.31E-11,2.04E-11,-2.36E-11,6.62E-11,3.79E-10,1.59E-09
-13.6,4.89E-11,-2.53E-11,2.44E-11,5.25E-11,1.09E-11,3.13E-10,1.71E-09
-13.55,-2.00E-13,4.50E-11,-2.18E-11,-2.65E-12,8.79E-11,3.85E-10,1.62E-09
-13.5,-3.64E-12,8.14E-12,4.97E-11,1.10E-11,2.58E-11,3.11E-10,1.69E-09
-13.45,5.13E-11,-4.68E-12,-1.17E-11,4.66E-11,4.98E-11,3.60E-10,1.77E-09
-13.4,-1.49E-11,5.44E-11,2.33E-11,-1.58E-11,8.08E-11,3.71E-10,1.61E-09
-13.35,5.71E-12,-2.12E-11,4.20E-11,5.66E-11,2.27E-11,3.29E-10,1.67E-09
-13.3,5.55E-11,3.18E-11,-1.80E-11,1.89E-11,8.04E-11,4.25E-10,1.69E-09
-13.25,-1.61E-11,2.63E-11,4.30E-11,1.55E-11,7.36E-11,3.65E-10,1.70E-09
-13.2,1.42E-11,-1.59E-11,2.79E-11,6.05E-11,3.93E-11,4.12E-10,1.87E-09
-13.15,5.34E-11,5.42E-11,-1.68E-11,-1.17E-11,1.03E-10,4.31E-10,1.73E-09
-13.1,-1.76E-11,-8.36E-12,5.99E-11,6.46E-11,3.20E-11,3.56E-10,1.75E-09
-13.05,2.42E-11,2.13E-11,-3.83E-12,2.14E-11,7.64E-11,4.26E-10,1.76E-09
-13,5.10E-11,4.50E-11,2.79E-11,1.54E-11,7.64E-11,4.08E-10,1.75E-09
-12.95,-1.20E-11,-1.36E-11,5.15E-11,6.92E-11,4.41E-11,3.90E-10,1.92E-09
-12.9,5.50E-11,5.56E-11,-9.49E-12,5.60E-13,1.11E-10,4.60E-10,1.85E-09
-12.85,2.58E-11,2.54E-11,6.71E-11,7.43E-11,5.76E-11,4.12E-10,1.76E-09
-12.8,2.17E-12,5.67E-12,1.97E-11,2.43E-11,8.21E-11,4.40E-10,1.79E-09
-12.75,6.57E-11,6.45E-11,2.25E-11,3.22E-11,1.07E-10,5.04E-10,1.71E-09
-12.7,7.20E-12,-3.32E-12,7.30E-11,8.13E-11,4.93E-11,4.31E-10,1.93E-09
-12.65,1.99E-11,3.52E-11,5.22E-12,1.17E-11,1.30E-10,4.72E-10,1.88E-09
-12.6,6.36E-11,5.50E-11,6.68E-11,7.80E-11,7.16E-11,4.52E-10,1.82E-09
-12.55,-1.08E-12,-9.60E-13,4.63E-11,5.63E-11,1.03E-10,4.81E-10,1.75E-09
-12.5,6.38E-11,6.02E-11,2.03E-11,3.35E-11,1.32E-10,5.18E-10,1.72E-09
-12.45,4.04E-11,5.03E-11,8.45E-11,9.94E-11,7.41E-11,4.58E-10,1.88E-09
-12.4,4.69E-12,9.01E-12,1.88E-11,2.64E-11,1.51E-10,5.34E-10,2.01E-09
-12.35,7.75E-11,7.92E-11,5.66E-11,7.80E-11,1.15E-10,5.18E-10,1.94E-09
-12.3,1.82E-11,1.69E-11,7.71E-11,8.27E-11,1.09E-10,5.39E-10,1.91E-09
-12.25,3.65E-11,4.80E-11,1.95E-11,4.75E-11,1.71E-10,6.08E-10,2.11E-09
-12.2,7.26E-11,7.46E-11,9.47E-11,1.14E-10,1.03E-10,5.24E-10,2.22E-09
-12.15,1.34E-11,1.51E-11,5.50E-11,4.44E-11,1.37E-10,5.82E-10,2.18E-09
-12.1,8.45E-11,9.21E-11,5.28E-11,9.43E-11,1.70E-10,5.98E-10,2.35E-09
-12.05,5.23E-11,5.14E-11,1.12E-10,1.00E-10,1.13E-10,5.38E-10,2.29E-09
-12,3.38E-11,3.89E-11,4.39E-11,5.81E-11,1.95E-10,6.19E-10,2.31E-09
-11.95,9.80E-11,1.04E-10,8.72E-11,1.35E-10,1.52E-10,6.30E-10,2.43E-09
-11.9,3.40E-11,3.24E-11,1.06E-10,7.65E-11,1.65E-10,6.13E-10,2.35E-09
-11.85,6.42E-11,9.02E-11,5.09E-11,1.10E-10,2.11E-10,7.11E-10,2.39E-09
-11.8,9.55E-11,8.14E-11,1.28E-10,1.45E-10,1.54E-10,6.75E-10,2.46E-09
-11.75,3.43E-11,6.04E-11,8.74E-11,8.46E-11,2.13E-10,6.97E-10,2.49E-09
